Año 2000 2001 2002 2003 2004
Enero 3680.12 3668.05 3654.25 3617.61 3594.38
Febrero 3678.48 3665.02 3651.01 3613.0 3589.11
Marzo 3677.23 3663.35 3648.63 3608.95 3584.49
Abril 3676.44 3662.56 3646.79 3605.92 3583.02
Mayo 3676.76 3665.27 3644.88 3606.11 3584.7
Junio 3682.19 3672.19 3642.98 3615.39 3587.01
Julio 3682.86 3671.37 3637.53 3613.64 3583.07
Agosto 3681.12 3667.81 3630.83 3607.32 3575.85
Septiembre 3678.7 3665.45 3627.1 3604.11 3571.07
Octubre 3676.96 3663.47 3625.59 3602.92 3570.7
Noviembre 3674.93 3661.25 3623.98 3601.24 3569.69
Diciembre 3671.59 3658.07 3621.65 3598.82 3565.73
